region,per capita,formal wage,child mortality,2020,alco (2018),drug (2018),grp,living area,bad conditions,no funds,morbidity (2016),congenital malformation (2016),psychosis (2016),teenage pregnancy (2016),birth rate,population,poverty,the poor: children,aged,the poor: employable,regional production,retail,living wage
Удмуртская Республика,25449.0,36380.0,0.43313853557923687,39105.0,56.4,7.7,451490.9,14.8,1.9,1.3152,99088.4,191.0,428.4,7.5,969.0497050211366,1500955.0,11.9,49.9,2.7,47.5,774938.0300675237,160085,10930.0
Ульяновская область,24590.0,32504.0,0.41561956311618015,40087.0,102.6,19.1,360112.2,17.9,1.0,0.3036,87077.9,253.1,372.1,0.0,841.2585865945045,1229824.0,15.0,38.4,3.1,58.5,530425.626626249,165299,11088.0
Хабаровский край,41740.0,53113.0,0.42215590654341656,26298.0,128.5,17.3,658239.5,15.4,1.2,0.532,67303.6,153.4,377.2,0.0,1044.2802492773494,1315643.0,12.0,32.7,6.4,60.9,762882.3857231787,277942,16510.0
Ханты-Мансийский автономный округ - Югра,54443.0,79822.0,0.36398932297985925,27400.0,33.7,6.2,1994630.3,13.9,2.8,5.8128,90676.1,193.3,405.8,18.2,1230.3872510264673,1674676.0,8.4,55.6,1.6,42.9,4139875.290551725,258117,17140.0
Челябинская область,26628.0,39349.0,0.3999759412967641,79089.0,69.6,20.6,467537.3,16.0,0.8,0.525,88428.4,397.2,667.3,7.0,959.2746761813297,3466369.0,12.6,40.6,6.0,53.4,991573.8365996233,173367,12056.0
Чеченская Республика,24596.0,29771.0,0.6011092291853476,138935.0,4.1,0.6,171029.5,19.2,0.6,0.5539,52150.1,73.6,157.9,0.0,2036.2798787605007,1478726.0,20.4,43.7,6.2,50.1,58824.50190231321,123955,11572.0
Чувашская Республика,21155.0,31844.0,0.21225789334040857,28771.0,79,1.2,287210.3,14.2,1.2,1.8768000000000002,93394.5,487.8,515.7,3.3,928.4638591316601,1217818.0,16.8,22.2,4.2,73.6,415546.2305533339,141564,10414.0
Чукотский автономный округ,89541.0,120641.0,1.48975791433892,1068.0,208.7,0,2404271.2,14.1,1.9,0.0,128506.5,255.2,957.0,111.5,1067.8491886732422,50288.0,8.0,46.9,2.7,50.4,5195717.00604518,217089,24711.0
Ямало-Ненецкий автономный округ,89928.0,111216.0,0.35250987027636776,7573.0,94.7,18.9,5072483.6,15.5,1.7,5.0091,118256.9,258.9,693.9,11.3,1302.613308255762,544444.0,4.8,51.0,0.7,48.4,10037067.118307851,263114,17403.0
Ярославская область,29514.0,37820.0,0.3779289493575208,28829.0,45.3,7.6,495102.2,15.8,0.5,0.0,89949.9,171.6,434.8,624.4,844.4305798120137,1253389.0,9.9,31.9,2.3,65.8,765187.2599807403,204406,11689.0
